OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE594147622022,TRAILER_CONTAINER20,JI,2022-03-11,JABODETABEK-BANTEN,0
VE589389292022,TRAILER_CONTAINER20,FTJ,2022-01-18,JABODETABEK-BANTEN,0
VE588362832022,TRAILER_CONTAINER20,SKB,2022-01-05,JABODETABEK-BANTEN,0
VE589369922022,TRAILER_CONTAINER20,JI,2022-01-18,JABODETABEK-BANTEN,0
VE588920192022,TRAILER_CONTAINER20,PJM,2022-01-12,JABODETABEK-BANTEN,0
VE593544632022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-BANTEN,0
VE593544602022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-BANTEN,0
VE593544582022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-BANTEN,0
VE597566072022,TRAILER_CONTAINER20,JI,2022-04-20,JABODETABEK-BANTEN,0
VE597565692022,TRAILER_CONTAINER20,JI,2022-04-20,JABODETABEK-BANTEN,0
VE597574222022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-BANTEN,0
VE603596942022,TRAILER_CONTAINER20,FTJ,2022-06-29,JABODETABEK-BANTEN,9
VE589375842022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-BANTEN,0
VE593533332022,TRAILER_CONTAINER20,SKB,2022-03-04,JABODETABEK-BANTEN,0
VE593533242022,TRAILER_CONTAINER20,SKB,2022-03-04,JABODETABEK-BANTEN,0
VE602118982022,TRAILER_CONTAINER20,PJM,2022-06-13,JABODETABEK-JAWA BARAT,0
VE600354212022,TRAILER_CONTAINER20,KTN,2022-05-23,JABODETABEK-JABODETABEK,0
VE595147722022,TRAILER_CONTAINER20,SKB,2022-03-23,JABODETABEK-JAWA BARAT,0
VE593614632022,TRAILER_CONTAINER20,SKB,2022-03-07,JABODETABEK-JAWA BARAT,0
VE602098382022,TRAILER_CONTAINER20,ACS,2022-06-13,JABODETABEK-JAWA BARAT,0
